image_path,emotion,dataset_name,width,height,file_size,age,gender
./Datasets\AMFD Faces Final\happy\SF-1044.jpg,1,AMFD Faces Final,640,640,27717,1,1
./Datasets\AMFD Faces Final\happy\SF-1045.jpg,1,AMFD Faces Final,640,640,28659,1,1
./Datasets\AMFD Faces Final\happy\SF-1046.jpg,1,AMFD Faces Final,640,640,29632,1,1
./Datasets\AMFD Faces Final\happy\SF-1047.jpg,1,AMFD Faces Final,640,640,34996,1,1
./Datasets\AMFD Faces Final\happy\SF-1048.jpg,1,AMFD Faces Final,640,640,37236,1,1
./Datasets\AMFD Faces Final\happy\SF-1049.jpg,1,AMFD Faces Final,640,640,29543,1,1
./Datasets\AMFD Faces Final\happy\SF-1050.jpg,1,AMFD Faces Final,640,640,39528,1,1
./Datasets\AMFD Faces Final\happy\SF-1051.jpg,1,AMFD Faces Final,640,640,37205,1,1
./Datasets\AMFD Faces Final\happy\SF-1053.jpg,1,AMFD Faces Final,640,640,34970,1,1
./Datasets\AMFD Faces Final\happy\SF-1054.jpg,1,AMFD Faces Final,640,640,34188,1,1
./Datasets\AMFD Faces Final\happy\SF-1056.jpg,1,AMFD Faces Final,640,640,34790,1,1
./Datasets\AMFD Faces Final\happy\SF-1057.jpg,1,AMFD Faces Final,640,640,28710,1,1
./Datasets\AMFD Faces Final\happy\SF-1059.jpg,1,AMFD Faces Final,640,640,35425,1,1
./Datasets\AMFD Faces Final\happy\SF-1060.jpg,1,AMFD Faces Final,640,640,24441,1,1
./Datasets\AMFD Faces Final\happy\SF-1061.jpg,1,AMFD Faces Final,640,640,32852,1,1
./Datasets\AMFD Faces Final\happy\SF-1062.jpg,1,AMFD Faces Final,640,640,30660,1,1
./Datasets\AMFD Faces Final\happy\SF-1063.jpg,1,AMFD Faces Final,640,640,30739,1,1
./Datasets\AMFD Faces Final\happy\SF-1065.jpg,1,AMFD Faces Final,640,640,28250,1,1
./Datasets\AMFD Faces Final\happy\SF-1067.jpg,1,AMFD Faces Final,640,640,35899,1,1
./Datasets\AMFD Faces Final\happy\SF-1068.jpg,1,AMFD Faces Final,640,640,32741,1,1
./Datasets\AMFD Faces Final\happy\SF-1069.jpg,1,AMFD Faces Final,640,640,38144,1,1
./Datasets\AMFD Faces Final\happy\SF-1071.jpg,1,AMFD Faces Final,640,640,25201,1,1
./Datasets\AMFD Faces Final\happy\SF-1072.jpg,1,AMFD Faces Final,640,640,26382,1,1
./Datasets\AMFD Faces Final\happy\SF-1073.jpg,1,AMFD Faces Final,640,640,29859,1,1
./Datasets\AMFD Faces Final\happy\SF-1075.jpg,1,AMFD Faces Final,640,640,34606,1,1
./Datasets\AMFD Faces Final\happy\SF-1076.jpg,1,AMFD Faces Final,640,640,30098,1,1
./Datasets\AMFD Faces Final\happy\SF-1077.jpg,1,AMFD Faces Final,640,640,34753,1,1
./Datasets\AMFD Faces Final\happy\SF-1078.jpg,1,AMFD Faces Final,640,640,37352,1,1
./Datasets\AMFD Faces Final\happy\SF-1079.jpg,1,AMFD Faces Final,640,640,28782,1,1
./Datasets\AMFD Faces Final\happy\SF-1080.jpg,1,AMFD Faces Final,640,640,31863,1,1
./Datasets\AMFD Faces Final\happy\SF-1083.jpg,1,AMFD Faces Final,640,640,32415,1,1
./Datasets\AMFD Faces Final\happy\SF-1084.jpg,1,AMFD Faces Final,640,640,44227,1,1
./Datasets\AMFD Faces Final\happy\SF-1085.jpg,1,AMFD Faces Final,640,640,32124,1,1
./Datasets\AMFD Faces Final\happy\SF-1086.jpg,1,AMFD Faces Final,640,640,30774,1,1
./Datasets\AMFD Faces Final\happy\SF-1087.jpg,1,AMFD Faces Final,640,640,36983,1,1
./Datasets\AMFD Faces Final\happy\SF-1088.jpg,1,AMFD Faces Final,640,640,29232,1,1
./Datasets\AMFD Faces Final\happy\SF-1089.jpg,1,AMFD Faces Final,640,640,30219,1,1
./Datasets\AMFD Faces Final\happy\SF-1093.jpg,1,AMFD Faces Final,640,640,32676,1,1
./Datasets\AMFD Faces Final\happy\SF-1094.jpg,1,AMFD Faces Final,640,640,26534,1,1
./Datasets\AMFD Faces Final\happy\SF-1095.jpg,1,AMFD Faces Final,640,640,28439,1,1
./Datasets\AMFD Faces Final\happy\SF-1096.jpg,1,AMFD Faces Final,640,640,34795,1,1
./Datasets\AMFD Faces Final\happy\SF-1097.jpg,1,AMFD Faces Final,640,640,32626,1,1
./Datasets\AMFD Faces Final\happy\SF-1098.jpg,1,AMFD Faces Final,640,640,31922,1,1
./Datasets\AMFD Faces Final\happy\SF-1099.jpg,1,AMFD Faces Final,640,640,34146,1,1
./Datasets\AMFD Faces Final\happy\SF-1100.jpg,1,AMFD Faces Final,640,640,38848,1,1
./Datasets\AMFD Faces Final\happy\SF-1101.jpg,1,AMFD Faces Final,640,640,34636,1,1
./Datasets\AMFD Faces Final\happy\SF-1103.jpg,1,AMFD Faces Final,640,640,37540,1,1
./Datasets\AMFD Faces Final\happy\SF-1105.jpg,1,AMFD Faces Final,640,640,30849,1,1
./Datasets\AMFD Faces Final\happy\SF-1106.jpg,1,AMFD Faces Final,640,640,28807,1,1
./Datasets\AMFD Faces Final\happy\SF-1107.jpg,1,AMFD Faces Final,640,640,28585,1,1
./Datasets\AMFD Faces Final\happy\SF-1108.jpg,1,AMFD Faces Final,640,640,31270,1,1
./Datasets\AMFD Faces Final\happy\SF-1109.jpg,1,AMFD Faces Final,640,640,24175,1,1
./Datasets\AMFD Faces Final\happy\SF-1110.jpg,1,AMFD Faces Final,640,640,32154,1,1
./Datasets\AMFD Faces Final\happy\SM-1007.jpg,1,AMFD Faces Final,640,640,32939,1,2
./Datasets\AMFD Faces Final\happy\SM-1010.jpg,1,AMFD Faces Final,640,640,27926,1,2
./Datasets\AMFD Faces Final\happy\SM-1011.jpg,1,AMFD Faces Final,640,640,30830,1,2
./Datasets\AMFD Faces Final\happy\SM-1019.jpg,1,AMFD Faces Final,640,640,32946,1,2
./Datasets\AMFD Faces Final\happy\SM-1027.jpg,1,AMFD Faces Final,640,640,40228,1,2
./Datasets\AMFD Faces Final\happy\SM-1029.jpg,1,AMFD Faces Final,640,640,32811,1,2
./Datasets\AMFD Faces Final\happy\SM-1033.jpg,1,AMFD Faces Final,640,640,28740,1,2
./Datasets\AMFD Faces Final\happy\SM-1035.jpg,1,AMFD Faces Final,640,640,29064,1,2
./Datasets\AMFD Faces Final\happy\SM-1038.jpg,1,AMFD Faces Final,640,640,23636,1,2
./Datasets\AMFD Faces Final\happy\SM-1052.jpg,1,AMFD Faces Final,640,640,25788,1,2
./Datasets\AMFD Faces Final\happy\SM-1055.jpg,1,AMFD Faces Final,640,640,24327,1,2
./Datasets\AMFD Faces Final\happy\SM-1058.jpg,1,AMFD Faces Final,640,640,21007,1,2
./Datasets\AMFD Faces Final\happy\SM-1064.jpg,1,AMFD Faces Final,640,640,26033,1,2
./Datasets\AMFD Faces Final\happy\SM-1070.jpg,1,AMFD Faces Final,640,640,25484,1,2
./Datasets\AMFD Faces Final\happy\SM-1074.jpg,1,AMFD Faces Final,640,640,24087,1,2
./Datasets\AMFD Faces Final\happy\SM-1090.jpg,1,AMFD Faces Final,640,640,27725,1,2
./Datasets\AMFD Faces Final\happy\SM-1091.jpg,1,AMFD Faces Final,640,640,28412,1,2
./Datasets\AMFD Faces Final\happy\SM-1092.jpg,1,AMFD Faces Final,640,640,24001,1,2
./Datasets\AMFD Faces Final\happy\SM-1102.jpg,1,AMFD Faces Final,640,640,26306,1,2
./Datasets\AMFD Faces Final\happy\SM-1104.jpg,1,AMFD Faces Final,640,640,29366,1,2
./Datasets\AMFD Faces Final\neutral\NF-1001.jpg,2,AMFD Faces Final,640,640,36270,1,1
./Datasets\AMFD Faces Final\neutral\NF-1002.jpg,2,AMFD Faces Final,640,640,33504,1,1
./Datasets\AMFD Faces Final\neutral\NF-1003.jpg,2,AMFD Faces Final,640,640,28982,1,1
./Datasets\AMFD Faces Final\neutral\NF-1004.jpg,2,AMFD Faces Final,640,640,29430,1,1
./Datasets\AMFD Faces Final\neutral\NF-1005.jpg,2,AMFD Faces Final,640,640,29903,1,1
./Datasets\AMFD Faces Final\neutral\NF-1006.jpg,2,AMFD Faces Final,640,640,38134,1,1
./Datasets\AMFD Faces Final\neutral\NF-1008.jpg,2,AMFD Faces Final,640,640,32284,1,1
./Datasets\AMFD Faces Final\neutral\NF-1009.jpg,2,AMFD Faces Final,640,640,35299,1,1
./Datasets\AMFD Faces Final\neutral\NF-1012.jpg,2,AMFD Faces Final,640,640,31066,1,1
./Datasets\AMFD Faces Final\neutral\NF-1013.jpg,2,AMFD Faces Final,640,640,36746,1,1
./Datasets\AMFD Faces Final\neutral\NF-1014.jpg,2,AMFD Faces Final,640,640,40554,1,1
./Datasets\AMFD Faces Final\neutral\NF-1015.jpg,2,AMFD Faces Final,640,640,31883,1,1
./Datasets\AMFD Faces Final\neutral\NF-1016.jpg,2,AMFD Faces Final,640,640,31628,1,1
./Datasets\AMFD Faces Final\neutral\NF-1017.jpg,2,AMFD Faces Final,640,640,41794,1,1
./Datasets\AMFD Faces Final\neutral\NF-1018.jpg,2,AMFD Faces Final,640,640,39744,1,1
./Datasets\AMFD Faces Final\neutral\NF-1020.jpg,2,AMFD Faces Final,640,640,30902,1,1
./Datasets\AMFD Faces Final\neutral\NF-1021.jpg,2,AMFD Faces Final,640,640,36527,1,1
./Datasets\AMFD Faces Final\neutral\NF-1022.jpg,2,AMFD Faces Final,640,640,36955,1,1
./Datasets\AMFD Faces Final\neutral\NF-1023.jpg,2,AMFD Faces Final,640,640,37095,1,1
./Datasets\AMFD Faces Final\neutral\NF-1024.jpg,2,AMFD Faces Final,640,640,29368,1,1
./Datasets\AMFD Faces Final\neutral\NF-1025.jpg,2,AMFD Faces Final,640,640,31408,1,1
./Datasets\AMFD Faces Final\neutral\NF-1026.jpg,2,AMFD Faces Final,640,640,32059,1,1
./Datasets\AMFD Faces Final\neutral\NF-1028.jpg,2,AMFD Faces Final,640,640,30180,1,1
./Datasets\AMFD Faces Final\neutral\NF-1030.jpg,2,AMFD Faces Final,640,640,32207,1,1
./Datasets\AMFD Faces Final\neutral\NF-1031.jpg,2,AMFD Faces Final,640,640,35284,1,1
./Datasets\AMFD Faces Final\neutral\NF-1032.jpg,2,AMFD Faces Final,640,640,30737,1,1
./Datasets\AMFD Faces Final\neutral\NF-1034.jpg,2,AMFD Faces Final,640,640,36718,1,1
./Datasets\AMFD Faces Final\neutral\NF-1036.jpg,2,AMFD Faces Final,640,640,35050,1,1
./Datasets\AMFD Faces Final\neutral\NF-1037.jpg,2,AMFD Faces Final,640,640,29934,1,1
./Datasets\AMFD Faces Final\neutral\NF-1039.jpg,2,AMFD Faces Final,640,640,34963,1,1
./Datasets\AMFD Faces Final\neutral\NF-1040.jpg,2,AMFD Faces Final,640,640,41917,1,1
./Datasets\AMFD Faces Final\neutral\NF-1041.jpg,2,AMFD Faces Final,640,640,31139,1,1
./Datasets\AMFD Faces Final\neutral\NF-1042.jpg,2,AMFD Faces Final,640,640,36613,1,1
./Datasets\AMFD Faces Final\neutral\NF-1043.jpg,2,AMFD Faces Final,640,640,36692,1,1
./Datasets\AMFD Faces Final\neutral\NF-1044.jpg,2,AMFD Faces Final,640,640,29305,1,1
./Datasets\AMFD Faces Final\neutral\NF-1045.jpg,2,AMFD Faces Final,640,640,28117,1,1
./Datasets\AMFD Faces Final\neutral\NF-1046.jpg,2,AMFD Faces Final,640,640,26836,1,1
./Datasets\AMFD Faces Final\neutral\NF-1047.jpg,2,AMFD Faces Final,640,640,32857,1,1
./Datasets\AMFD Faces Final\neutral\NF-1048.jpg,2,AMFD Faces Final,640,640,37441,1,1
./Datasets\AMFD Faces Final\neutral\NF-1049.jpg,2,AMFD Faces Final,640,640,30820,1,1
./Datasets\AMFD Faces Final\neutral\NF-1050.jpg,2,AMFD Faces Final,640,640,38846,1,1
./Datasets\AMFD Faces Final\neutral\NF-1051.jpg,2,AMFD Faces Final,640,640,36430,1,1
./Datasets\AMFD Faces Final\neutral\NF-1053.jpg,2,AMFD Faces Final,640,640,36985,1,1
./Datasets\AMFD Faces Final\neutral\NF-1054.jpg,2,AMFD Faces Final,640,640,30023,1,1
./Datasets\AMFD Faces Final\neutral\NF-1056.jpg,2,AMFD Faces Final,640,640,33056,1,1
./Datasets\AMFD Faces Final\neutral\NF-1057.jpg,2,AMFD Faces Final,640,640,30639,1,1
./Datasets\AMFD Faces Final\neutral\NF-1059.jpg,2,AMFD Faces Final,640,640,35488,1,1
./Datasets\AMFD Faces Final\neutral\NF-1060.jpg,2,AMFD Faces Final,640,640,23701,1,1
./Datasets\AMFD Faces Final\neutral\NF-1061.jpg,2,AMFD Faces Final,640,640,36558,1,1
./Datasets\AMFD Faces Final\neutral\NF-1062.jpg,2,AMFD Faces Final,640,640,39050,1,1
./Datasets\AMFD Faces Final\neutral\NF-1063.jpg,2,AMFD Faces Final,640,640,30858,1,1
./Datasets\AMFD Faces Final\neutral\NF-1065.jpg,2,AMFD Faces Final,640,640,33301,1,1
./Datasets\AMFD Faces Final\neutral\NF-1066.jpg,2,AMFD Faces Final,640,640,30912,1,1
./Datasets\AMFD Faces Final\neutral\NF-1067.jpg,2,AMFD Faces Final,640,640,36836,1,1
./Datasets\AMFD Faces Final\neutral\NF-1068.jpg,2,AMFD Faces Final,640,640,33083,1,1
./Datasets\AMFD Faces Final\neutral\NF-1072.jpg,2,AMFD Faces Final,640,640,24829,1,1
./Datasets\AMFD Faces Final\neutral\NF-1073.jpg,2,AMFD Faces Final,640,640,27964,1,1
./Datasets\AMFD Faces Final\neutral\NF-1075.jpg,2,AMFD Faces Final,640,640,32255,1,1
./Datasets\AMFD Faces Final\neutral\NF-1076.jpg,2,AMFD Faces Final,640,640,36304,1,1
./Datasets\AMFD Faces Final\neutral\NF-1077.jpg,2,AMFD Faces Final,640,640,31399,1,1
./Datasets\AMFD Faces Final\neutral\NF-1079.jpg,2,AMFD Faces Final,640,640,28697,1,1
./Datasets\AMFD Faces Final\neutral\NF-1080.jpg,2,AMFD Faces Final,640,640,28962,1,1
./Datasets\AMFD Faces Final\neutral\NF-1081.jpg,2,AMFD Faces Final,640,640,29851,1,1
./Datasets\AMFD Faces Final\neutral\NF-1082.jpg,2,AMFD Faces Final,640,640,37101,1,1
./Datasets\AMFD Faces Final\neutral\NF-1083.jpg,2,AMFD Faces Final,640,640,30071,1,1
./Datasets\AMFD Faces Final\neutral\NF-1084.jpg,2,AMFD Faces Final,640,640,43295,1,1
./Datasets\AMFD Faces Final\neutral\NF-1085.jpg,2,AMFD Faces Final,640,640,34064,1,1
./Datasets\AMFD Faces Final\neutral\NF-1086.jpg,2,AMFD Faces Final,640,640,33655,1,1
./Datasets\AMFD Faces Final\neutral\NF-1087.jpg,2,AMFD Faces Final,640,640,33968,1,1
./Datasets\AMFD Faces Final\neutral\NF-1088.jpg,2,AMFD Faces Final,640,640,29427,1,1
./Datasets\AMFD Faces Final\neutral\NF-1089.jpg,2,AMFD Faces Final,640,640,26724,1,1
./Datasets\AMFD Faces Final\neutral\NF-1093.jpg,2,AMFD Faces Final,640,640,31626,1,1
./Datasets\AMFD Faces Final\neutral\NF-1094.jpg,2,AMFD Faces Final,640,640,27573,1,1
./Datasets\AMFD Faces Final\neutral\NF-1095.jpg,2,AMFD Faces Final,640,640,27400,1,1
./Datasets\AMFD Faces Final\neutral\NF-1096.jpg,2,AMFD Faces Final,640,640,30421,1,1
./Datasets\AMFD Faces Final\neutral\NF-1097.jpg,2,AMFD Faces Final,640,640,30665,1,1
./Datasets\AMFD Faces Final\neutral\NF-1098.jpg,2,AMFD Faces Final,640,640,32218,1,1
./Datasets\AMFD Faces Final\neutral\NF-1099.jpg,2,AMFD Faces Final,640,640,37580,1,1
./Datasets\AMFD Faces Final\neutral\NF-1100.jpg,2,AMFD Faces Final,640,640,41462,1,1
./Datasets\AMFD Faces Final\neutral\NF-1101.jpg,2,AMFD Faces Final,640,640,35781,1,1
./Datasets\AMFD Faces Final\neutral\NF-1103.jpg,2,AMFD Faces Final,640,640,38865,1,1
./Datasets\AMFD Faces Final\neutral\NF-1105.jpg,2,AMFD Faces Final,640,640,30647,1,1
./Datasets\AMFD Faces Final\neutral\NF-1106.jpg,2,AMFD Faces Final,640,640,29602,1,1
./Datasets\AMFD Faces Final\neutral\NF-1107.jpg,2,AMFD Faces Final,640,640,28662,1,1
./Datasets\AMFD Faces Final\neutral\NF-1108.jpg,2,AMFD Faces Final,640,640,31070,1,1
./Datasets\AMFD Faces Final\neutral\NF-1109.jpg,2,AMFD Faces Final,640,640,23389,1,1
./Datasets\AMFD Faces Final\neutral\NF-1110.jpg,2,AMFD Faces Final,640,640,29461,1,1
./Datasets\AMFD Faces Final\neutral\NM-1007.jpg,2,AMFD Faces Final,640,640,29579,1,2
./Datasets\AMFD Faces Final\neutral\NM-1010.jpg,2,AMFD Faces Final,640,640,26883,1,2
./Datasets\AMFD Faces Final\neutral\NM-1011.jpg,2,AMFD Faces Final,640,640,33211,1,2
./Datasets\AMFD Faces Final\neutral\NM-1019.jpg,2,AMFD Faces Final,640,640,36358,1,2
./Datasets\AMFD Faces Final\neutral\NM-1027.jpg,2,AMFD Faces Final,640,640,36186,1,2
./Datasets\AMFD Faces Final\neutral\NM-1029.jpg,2,AMFD Faces Final,640,640,35756,1,2
./Datasets\AMFD Faces Final\neutral\NM-1033.jpg,2,AMFD Faces Final,640,640,29233,1,2
./Datasets\AMFD Faces Final\neutral\NM-1035.jpg,2,AMFD Faces Final,640,640,31205,1,2
./Datasets\AMFD Faces Final\neutral\NM-1038.jpg,2,AMFD Faces Final,640,640,23570,1,2
./Datasets\AMFD Faces Final\neutral\NM-1052.jpg,2,AMFD Faces Final,640,640,28501,1,2
./Datasets\AMFD Faces Final\neutral\NM-1055.jpg,2,AMFD Faces Final,640,640,27339,1,2
./Datasets\AMFD Faces Final\neutral\NM-1058.jpg,2,AMFD Faces Final,640,640,21073,1,2
./Datasets\AMFD Faces Final\neutral\NM-1064.jpg,2,AMFD Faces Final,640,640,25593,1,2
./Datasets\AMFD Faces Final\neutral\NM-1070.jpg,2,AMFD Faces Final,640,640,24744,1,2
./Datasets\AMFD Faces Final\neutral\NM-1074.jpg,2,AMFD Faces Final,640,640,25321,1,2
./Datasets\AMFD Faces Final\neutral\NM-1090.jpg,2,AMFD Faces Final,640,640,30185,1,2
./Datasets\AMFD Faces Final\neutral\NM-1091.jpg,2,AMFD Faces Final,640,640,26849,1,2
./Datasets\AMFD Faces Final\neutral\NM-1092.jpg,2,AMFD Faces Final,640,640,26171,1,2
./Datasets\AMFD Faces Final\neutral\NM-1102.jpg,2,AMFD Faces Final,640,640,24344,1,2
./Datasets\AMFD Faces Final\neutral\NM-1104.jpg,2,AMFD Faces Final,640,640,28804,1,2
./Datasets\AMFD Faces Final\neutral\SF-1066.jpg,2,AMFD Faces Final,640,640,31931,1,1
./Datasets\CK\focused\S005_001_00000001.png,0,CK,640,640,149513,1,1
./Datasets\CK\focused\S010_003_00000001.png,0,CK,640,640,135158,1,1
./Datasets\CK\focused\S011_002_00000001.png,0,CK,640,640,133923,1,1
./Datasets\CK\focused\S014_001_00000001.png,0,CK,640,640,139328,1,1
./Datasets\CK\focused\S022_001_00000001.png,0,CK,640,640,172940,1,1
./Datasets\CK\focused\S026_004_00000001.png,0,CK,640,640,143003,1,1
./Datasets\CK\focused\S032_005_00000001.png,0,CK,640,640,168353,1,1
./Datasets\CK\focused\S034_003_00000001.png,0,CK,640,640,161686,1,1
./Datasets\CK\focused\S035_004_00000001.png,0,CK,640,640,162217,1,1
./Datasets\CK\focused\S042_002_00000001.png,0,CK,640,640,167302,1,1
./Datasets\CK\focused\S044_005_00000001.png,0,CK,640,640,159891,1,2
./Datasets\CK\focused\S045_002_00000001.png,0,CK,640,640,150794,1,2
./Datasets\CK\focused\S050_002_00000001.png,0,CK,640,640,153990,1,2
./Datasets\CK\focused\S051_003_00000001.png,0,CK,640,640,167173,1,1
./Datasets\CK\focused\S052_002_00000001.png,0,CK,640,640,155090,1,1
./Datasets\CK\focused\S053_004_00000001.png,0,CK,640,640,150377,1,2
./Datasets\CK\focused\S055_002_00000001.png,0,CK,640,640,150537,1,1
./Datasets\CK\focused\S056_001_00000001.png,0,CK,640,640,157025,1,2
./Datasets\CK\focused\S058_001_00000001.png,0,CK,640,640,152506,1,2
./Datasets\CK\focused\S058_005_00000001.png,0,CK,640,640,171711,1,2
./Datasets\CK\focused\S062_003_00000001.png,0,CK,640,640,162447,1,2
./Datasets\CK\focused\S063_001_00000001.png,0,CK,640,640,155704,1,2
./Datasets\CK\focused\S065_001_00000001.png,0,CK,640,640,155353,1,1
./Datasets\CK\focused\S066_002_00000001.png,0,CK,640,640,163394,1,1
./Datasets\CK\focused\S067_001_00000001.png,0,CK,640,640,152922,1,1
./Datasets\CK\focused\S068_005_00000001.png,0,CK,640,640,169876,1,1
./Datasets\CK\focused\S069_004_00000001.png,0,CK,640,640,151857,1,1
./Datasets\CK\focused\S070_005_00000001.png,0,CK,640,640,181608,1,1
./Datasets\CK\focused\S071_003_00000001.png,0,CK,640,640,169538,1,1
./Datasets\CK\focused\S072_001_00000001.png,0,CK,640,640,159369,1,1
./Datasets\CK\focused\S073_004_00000001.png,0,CK,640,640,165851,1,2
./Datasets\CK\focused\S073_006_00000001.png,0,CK,640,640,155333,1,2
./Datasets\CK\focused\S074_004_00000001.png,0,CK,640,640,155309,1,1
./Datasets\CK\focused\S075_001_00000001.png,0,CK,640,640,148554,1,2
./Datasets\CK\focused\S076_002_00000001.png,0,CK,640,640,159484,1,1
./Datasets\CK\focused\S077_006_00000001.png,0,CK,640,640,161667,1,1
./Datasets\CK\focused\S078_002_00000001.png,0,CK,640,640,147614,1,1
./Datasets\CK\focused\S079_001_00000001.png,0,CK,640,640,151155,1,1
./Datasets\CK\focused\S082_004_00000001.png,0,CK,640,640,164651,1,2
./Datasets\CK\focused\S083_003_00000001.png,0,CK,640,640,176519,1,1
./Datasets\CK\focused\S084_004_00000001.png,0,CK,640,640,173508,1,1
./Datasets\CK\focused\S085_001_00000001.png,0,CK,640,640,175120,1,1
./Datasets\CK\focused\S087_003_00000001.png,0,CK,640,640,163250,1,1
./Datasets\CK\focused\S088_002_00000001.png,0,CK,640,640,173627,1,2
./Datasets\CK\focused\S089_001_00000001.png,0,CK,640,640,167792,1,2
./Datasets\CK\focused\S090_006_00000001.png,0,CK,640,640,186096,1,1
./Datasets\CK\focused\S091_002_00000001.png,0,CK,640,640,159302,1,1
./Datasets\CK\focused\S092_001_00000001.png,0,CK,640,640,160646,1,2
./Datasets\CK\focused\S093_001_00000001.png,0,CK,640,640,156113,1,2
./Datasets\CK\focused\S094_003_00000001.png,0,CK,640,640,143354,1,1
./Datasets\CK\focused\S095_001_00000001.png,0,CK,640,640,142906,1,1
./Datasets\CK\focused\S097_002_00000001.png,0,CK,640,640,169885,1,2
./Datasets\CK\focused\S098_003_00000001.png,0,CK,640,640,150585,1,1
./Datasets\CK\focused\S102_007_00000001.png,0,CK,640,640,159008,1,1
./Datasets\CK\focused\S103_001_00000001.png,0,CK,640,640,172961,1,1
./Datasets\CK\focused\S104_002_00000001.png,0,CK,640,640,146454,1,1
./Datasets\CK\focused\S106_002_00000001.png,0,CK,640,640,154029,1,1
./Datasets\CK\focused\S107_006_00000001.png,0,CK,640,640,150595,1,2
./Datasets\CK\focused\S108_005_00000001.png,0,CK,640,640,175832,1,1
./Datasets\CK\focused\S109_003_00000001.png,0,CK,640,640,159005,1,1
./Datasets\CK\focused\S110_003_00000001.png,0,CK,640,640,154934,1,1
./Datasets\CK\focused\S111_006_00000001.png,0,CK,640,640,149042,1,1
./Datasets\CK\focused\S112_001_00000001.png,0,CK,640,640,147376,1,1
./Datasets\CK\focused\S113_002_00000001.png,0,CK,640,640,163958,1,2
./Datasets\CK\focused\S114_002_00000001.png,0,CK,640,640,149006,1,1
./Datasets\CK\focused\S116_006_00000001.png,0,CK,640,640,152421,1,2
./Datasets\CK\focused\S117_003_00000001.png,0,CK,640,640,164746,1,1
./Datasets\CK\focused\S118_001_00000001.png,0,CK,640,640,162054,1,2
